Date,Open,High,Low,Close,Adj Close,Volume
2012-08-31,28.610001,28.840000,28.200001,28.520000,28.520000,539800
2012-09-04,28.520000,28.990000,27.900000,28.139999,28.139999,752500
2012-09-05,28.010000,28.500000,27.809999,27.940001,27.940001,639300
2012-09-06,28.000000,28.900000,27.900000,28.549999,28.549999,841700
2012-09-07,28.549999,29.570000,28.500000,29.350000,29.350000,953200
2012-09-10,29.200001,29.350000,27.299999,27.370001,27.370001,1483300
2012-09-11,27.760000,28.160000,27.400000,27.799999,27.799999,1014900
2012-09-12,27.900000,28.580000,27.799999,28.280001,28.280001,1145200
2012-09-13,28.570000,29.500000,28.480000,29.480000,29.480000,1484700
2012-09-14,30.000000,30.650000,29.650000,30.389999,30.389999,1536600
2012-09-17,32.349998,32.779999,31.510000,32.540001,32.540001,3212800
2012-09-18,31.879999,31.900000,30.680000,31.340000,31.340000,1788500
2012-09-19,31.000000,31.740000,30.940001,31.049999,31.049999,1048500
2012-09-20,30.930000,31.500000,30.680000,30.900000,30.900000,912400
2012-09-21,31.100000,31.490000,29.540001,30.020000,30.020000,1870000
2012-09-24,29.510000,31.030001,29.400000,30.660000,30.660000,1301900
2012-09-25,28.620001,29.480000,27.530001,27.660000,27.660000,5680400
2012-09-26,27.660000,28.400000,27.480000,27.540001,27.540001,1527200
2012-09-27,27.820000,28.540001,27.600000,28.490000,28.490000,1758600
2012-09-28,28.730000,29.889999,28.610001,29.280001,29.280001,4343400
2012-10-01,29.500000,29.889999,29.000000,29.160000,29.160000,884400
2012-10-02,29.280001,29.889999,29.000000,29.799999,29.799999,729000
2012-10-03,29.750000,29.950001,29.240000,29.299999,29.299999,1052800
2012-10-04,30.000000,30.100000,28.650000,29.400000,29.400000,1541300
2012-10-05,29.700001,29.809999,28.680000,28.889999,28.889999,938600
2012-10-08,28.860001,29.400000,28.610001,29.250000,29.250000,889700
2012-10-09,29.120001,29.120001,28.250000,28.370001,28.370001,1193000
2012-10-10,28.389999,28.719999,28.010000,28.400000,28.400000,503600
2012-10-11,28.940001,28.980000,28.250000,28.320000,28.320000,450600
2012-10-12,28.320000,28.730000,27.500000,27.639999,27.639999,987600
2012-10-15,28.020000,28.049999,26.860001,27.330000,27.330000,1468700
2012-10-16,27.670000,28.090000,27.340000,28.059999,28.059999,479300
2012-10-17,28.250000,28.840000,27.799999,28.820000,28.820000,668000
2012-10-18,28.990000,28.990000,27.780001,28.040001,28.040001,741000
2012-10-19,27.830000,28.200001,27.299999,27.740000,27.740000,1027400
2012-10-22,27.990000,28.000000,27.360001,27.850000,27.850000,470200
2012-10-23,27.379999,28.559999,27.370001,28.389999,28.389999,749000
2012-10-24,28.520000,28.520000,27.250000,27.420000,27.420000,1016400
2012-10-25,27.799999,27.799999,27.450001,27.520000,27.520000,577700
2012-10-26,27.530001,27.799999,27.020000,27.379999,27.379999,477400
2012-10-31,27.700001,28.350000,27.370001,28.129999,28.129999,775200
2012-11-01,28.250000,29.490000,28.200001,29.250000,29.250000,1024100
2012-11-02,29.270000,29.549999,28.549999,28.920000,28.920000,1030300
2012-11-05,29.799999,31.580000,29.330000,31.500000,31.500000,2048900
2012-11-06,30.610001,31.200001,29.950001,31.150000,31.150000,2324000
2012-11-07,31.000000,32.049999,30.809999,31.540001,31.540001,1714500
2012-11-08,31.010000,31.879999,30.940001,31.309999,31.309999,1274000
2012-11-09,30.600000,30.930000,29.850000,30.320000,30.320000,863000
2012-11-12,30.290001,31.420000,30.160000,31.070000,31.070000,555900
2012-11-13,31.290001,32.000000,30.719999,31.610001,31.610001,998300
2012-11-14,31.959999,32.119999,31.200001,31.379999,31.379999,871300
2012-11-15,31.299999,31.440001,30.500000,30.820000,30.820000,984000
2012-11-16,31.150000,32.000000,30.590000,31.840000,31.840000,908700
2012-11-19,32.070000,33.250000,31.840000,32.919998,32.919998,1392400
2012-11-20,32.799999,33.099998,31.910000,33.000000,33.000000,922500
2012-11-21,32.610001,33.470001,32.290001,32.470001,32.470001,963200
2012-11-23,32.599998,32.830002,31.700001,32.130001,32.130001,430300
2012-11-26,32.099998,32.299999,31.620001,32.270000,32.270000,495800
